,Unnamed: 0,mac,count,min_signal,max_signal,avg_signal,last_seen_signal,first_seen,last_seen,associated,node_mac,Unnamed: 11
1486,1486,48:d6:d5:26:6d:0a,64.0,-77.0,-27.0,-47.0,-65.0,1583042348,1583042354.0,0.0,AC:86:74:73:BC:08,
1487,1487,a4:6c:f1:60:33:24,1.0,-90.0,-90.0,-90.0,-90.0,1583042347,1583042347.0,0.0,AC:86:74:73:BC:08,
1488,1488,d8:97:ba:42:71:3e,5.0,-90.0,-89.0,-89.0,-89.0,1583042334,1583042356.0,0.0,AC:86:74:73:BC:08,
1489,1489,e4:e0:a6:16:54:f6,3.0,-91.0,-88.0,-89.0,-91.0,1583042335,1583042335.0,0.0,AC:86:74:73:BC:08,
1490,1490,00:71:c2:19:b4:f5,20.0,-79.0,-53.0,-62.0,-66.0,1583042341,1583042360.0,0.0,AC:86:74:92:C5:58,
1491,1491,48:d6:d5:26:6d:0a,55.0,-84.0,-66.0,-68.0,-70.0,1583042349,1583042353.0,0.0,AC:86:74:92:C5:58,
1492,1492,00:71:c2:19:b4:f5,11.0,-82.0,-67.0,-71.0,-79.0,1583042359,1583042380.0,0.0,AC:86:74:73:BC:08,
1493,1493,a4:6c:f1:60:33:24,1.0,-88.0,-88.0,-88.0,-88.0,1583042378,1583042378.0,0.0,AC:86:74:73:BC:08,
1494,1494,d8:97:ba:42:71:3e,4.0,-90.0,-88.0,-89.0,-88.0,1583042363,1583042385.0,0.0,AC:86:74:73:BC:08,
1495,1495,00:71:c2:19:b4:f5,20.0,-78.0,-53.0,-61.0,-58.0,1583042369,1583042391.0,0.0,AC:86:74:92:C5:58,
1496,1496,00:71:c2:19:b4:f5,10.0,-78.0,-67.0,-70.0,-78.0,1583042390,1583042411.0,0.0,AC:86:74:73:BC:08,
1497,1497,5e:00:67:76:d3:ac,3.0,-91.0,-89.0,-90.0,-91.0,1583042415,1583042415.0,0.0,AC:86:74:73:BC:08,
1498,1498,a4:6c:f1:60:33:24,5.0,-92.0,-90.0,-90.0,-90.0,1583042387,1583042407.0,0.0,AC:86:74:73:BC:08,
1499,1499,d8:97:ba:42:71:3e,4.0,-90.0,-88.0,-89.0,-89.0,1583042396,1583042418.0,0.0,AC:86:74:73:BC:08,
1500,1500,da:a1:19:23:0a:8e,6.0,-58.0,-57.0,-57.0,-57.0,1583042412,1583042412.0,0.0,AC:86:74:73:BC:08,
1501,1501,ec:aa:a0:1c:03:dd,1.0,-93.0,-93.0,-93.0,-93.0,1583042393,1583042393.0,0.0,AC:86:74:73:BC:08,
1502,1502,00:71:c2:19:b4:f5,18.0,-77.0,-53.0,-60.0,-57.0,1583042400,1583042422.0,0.0,AC:86:74:92:C5:58,
1503,1503,4c:dd:31:d1:b6:62,5.0,-88.0,-82.0,-85.0,-88.0,1583042418,1583042419.0,0.0,AC:86:74:92:C5:58,
1504,1504,da:a1:19:23:0a:8e,4.0,-82.0,-79.0,-80.0,-80.0,1583042412,1583042412.0,0.0,AC:86:74:92:C5:58,
1505,1505,00:71:c2:19:b4:f5,13.0,-80.0,-65.0,-70.0,-78.0,1583042421,1583042440.0,0.0,AC:86:74:73:BC:08,
1506,1506,4c:dd:31:d1:b6:62,10.0,-82.0,-70.0,-76.0,-81.0,1583042418,1583042419.0,0.0,AC:86:74:73:BC:08,
1507,1507,a4:6c:f1:60:33:24,5.0,-92.0,-88.0,-90.0,-92.0,1583042421,1583042444.0,0.0,AC:86:74:73:BC:08,
1508,1508,d8:97:ba:42:71:3e,2.0,-90.0,-89.0,-89.0,-89.0,1583042439,1583042439.0,0.0,AC:86:74:73:BC:08,
1509,1509,ec:aa:a0:1c:03:dd,1.0,-90.0,-90.0,-90.0,-90.0,1583042422,1583042422.0,0.0,AC:86:74:73:BC:08,
1510,1510,00:71:c2:19:b4:f5,19.0,-79.0,-53.0,-62.0,-72.0,1583042429,1583042450.0,0.0,AC:86:74:92:C5:58,
1511,1511,00:71:c2:19:b4:f5,10.0,-81.0,-65.0,-70.0,-65.0,1583042450,1583042471.0,0.0,AC:86:74:73:BC:08,
1512,1512,48:d6:d5:26:6d:0a,39.0,-76.0,-34.0,-53.0,-60.0,1583042468,1583042469.0,0.0,AC:86:74:73:BC:08,
1513,1513,d8:97:ba:42:71:3e,4.0,-89.0,-87.0,-88.0,-89.0,1583042450,1583042468.0,0.0,AC:86:74:73:BC:08,
1514,1514,ec:aa:a0:1c:03:dd,1.0,-92.0,-92.0,-92.0,-92.0,1583042463,1583042463.0,0.0,AC:86:74:73:BC:08,
1515,1515,00:71:c2:19:b4:f5,20.0,-78.0,-53.0,-61.0,-68.0,1583042460,1583042481.0,0.0,AC:86:74:92:C5:58,
1516,1516,48:d6:d5:26:6d:0a,22.0,-77.0,-70.0,-72.0,-75.0,1583042469,1583042469.0,0.0,AC:86:74:92:C5:58,
1517,1517,00:71:c2:19:b4:f5,12.0,-79.0,-64.0,-71.0,-79.0,1583042481,1583042500.0,0.0,AC:86:74:73:BC:08,
1518,1518,d8:97:ba:42:71:3e,3.0,-89.0,-88.0,-88.0,-89.0,1583042479,1583042501.0,0.0,AC:86:74:73:BC:08,
1519,1519,ec:aa:a0:1c:03:dd,2.0,-91.0,-90.0,-90.0,-91.0,1583042492,1583042502.0,0.0,AC:86:74:73:BC:08,
1520,1520,00:71:c2:19:b4:f5,20.0,-71.0,-53.0,-61.0,-68.0,1583042491,1583042510.0,0.0,AC:86:74:92:C5:58,
1521,1521,78:4f:43:3b:f6:8c,6.0,-85.0,-80.0,-82.0,-85.0,1583042510,1583042510.0,0.0,AC:86:74:92:C5:58,
1522,1522,00:71:c2:19:b4:f5,13.0,-81.0,-65.0,-72.0,-79.0,1583042509,1583042531.0,0.0,AC:86:74:73:BC:08,
1523,1523,38:78:62:46:96:a6,6.0,-80.0,-57.0,-62.0,-61.0,1583042536,1583042537.0,1.0,AC:86:74:73:BC:08,
1524,1524,78:4f:43:3b:f6:8c,3.0,-86.0,-85.0,-85.0,-85.0,1583042510,1583042510.0,0.0,AC:86:74:73:BC:08,
1525,1525,d8:97:ba:42:71:3e,3.0,-90.0,-88.0,-89.0,-90.0,1583042512,1583042534.0,0.0,AC:86:74:73:BC:08,
1526,1526,ec:aa:a0:1c:03:dd,1.0,-91.0,-91.0,-91.0,-91.0,1583042533,1583042533.0,0.0,AC:86:74:73:BC:08,
1527,1527,00:71:c2:19:b4:f5,16.0,-76.0,-53.0,-61.0,-72.0,1583042520,1583042541.0,0.0,AC:86:74:92:C5:58,
1528,1528,38:78:62:46:96:a6,7.0,-82.0,-78.0,-80.0,-82.0,1583042536,1583042537.0,0.0,AC:86:74:92:C5:58,
1529,1529,a0:10:81:6b:29:15,1.0,-93.0,-93.0,-93.0,-93.0,1583042533,1583042533.0,0.0,AC:86:74:92:C5:58,
1530,1530,00:71:c2:19:b4:f5,13.0,-80.0,-67.0,-70.0,-67.0,1583042540,1583042561.0,0.0,AC:86:74:73:BC:08,
1531,1531,38:78:62:46:96:a6,2.0,-66.0,-60.0,-63.0,-66.0,1583042537,1583042537.0,1.0,AC:86:74:73:BC:08,
1532,1532,a4:6c:f1:60:33:24,1.0,-92.0,-92.0,-92.0,-92.0,1583042550,1583042550.0,0.0,AC:86:74:73:BC:08,
1533,1533,d8:97:ba:42:71:3e,4.0,-91.0,-88.0,-89.0,-88.0,1583042545,1583042567.0,0.0,AC:86:74:73:BC:08,
1534,1534,00:71:c2:19:b4:f5,19.0,-76.0,-53.0,-61.0,-71.0,1583042551,1583042570.0,0.0,AC:86:74:92:C5:58,
1535,1535,00:71:c2:19:b4:f5,13.0,-81.0,-66.0,-71.0,-78.0,1583042569,1583042590.0,0.0,AC:86:74:73:BC:08,
1536,1536,48:d6:d5:26:6d:0a,27.0,-79.0,-30.0,-47.0,-68.0,1583042588,1583042589.0,0.0,AC:86:74:73:BC:08,
1537,1537,d8:97:ba:42:71:3e,4.0,-90.0,-88.0,-89.0,-89.0,1583042573,1583042595.0,0.0,AC:86:74:73:BC:08,
1538,1538,ec:aa:a0:1c:03:dd,2.0,-92.0,-91.0,-91.0,-91.0,1583042572,1583042583.0,0.0,AC:86:74:73:BC:08,
1539,1539,00:71:c2:19:b4:f5,20.0,-78.0,-53.0,-61.0,-68.0,1583042579,1583042601.0,0.0,AC:86:74:92:C5:58,
1540,1540,48:d6:d5:26:6d:0a,21.0,-76.0,-72.0,-73.0,-76.0,1583042589,1583042589.0,0.0,AC:86:74:92:C5:58,
1541,1541,8a:d9:af:a7:2c:8e,1.0,-91.0,-91.0,-91.0,-91.0,1583042587,1583042587.0,0.0,AC:86:74:92:C5:58,
1542,1542,00:71:c2:19:b4:f5,12.0,-79.0,-65.0,-71.0,-79.0,1583042600,1583042621.0,0.0,AC:86:74:73:BC:08,
1543,1543,d8:97:ba:42:71:3e,5.0,-89.0,-87.0,-88.0,-88.0,1583042606,1583042617.0,0.0,AC:86:74:73:BC:08,
1544,1544,ec:aa:a0:1c:03:dd,1.0,-92.0,-92.0,-92.0,-92.0,1583042622,1583042622.0,0.0,AC:86:74:73:BC:08,
